"","Spanish","French","German","Italian","Polish","Chinese","Filipino, Tagalog","Japanese","Greek","American Indian (all)","Portuguese","Korean","Other or not reported","Hindi and related","Yiddish, Jewish","Arabic","Vietnamese","Czech","Serbo-Croatian, Yugoslavian, Slavonian","Magyar, Hungarian","Russian","Dutch","Norwegian","Persian, Iranian, Farsi","Slovak","Armenian","Swedish","Hebrew, Israeli","Thai, Siamese, Lao","Finnish","Lithuanian","Ukrainian, Ruthenian, Little Russian","Sub-Saharan Africa","Micronesian, Polynesian","Dravidian","Danish","Turkish","Celtic","Rumanian","Slovene","Other Malayan","Indonesian","Albanian","Amharic, Ethiopian, etc","Hawaiian","Tibetan","Other Balto-Slavic","Near East Arabic dialect","Other East/Southeast Asian","Icelandic","African, n.s","Hamitic","Burmese, Lisu, Lolo","Basque","Other Altaic","Romany, Gypsy","Other Persian dialects","Kurukh","Uralic","Caucasian, Georgian, Avar","Burushaski","English","N/A or blank"
"Metropolitan status indeterminable (mixed)",438400,193600,124400,53800,41800,7400,7200,5600,11400,17000,25000,7600,16200,5000,1600,5000,6000,11200,3400,4800,2400,7000,26200,4400,5600,2400,10000,1200,3400,7600,5200,3200,1800,800,2000,1200,200,2600,200,1000,800,200,1000,0,400,1600,600,0,600,600,0,0,0,0,600,0,0,0,0,0,0,0,0
"Not in metropolitan area",621200,261200,241000,51400,48800,13000,20400,24800,7400,144800,16600,9000,32800,6600,2600,8400,6800,29400,5000,7000,3800,17200,20800,5000,7200,1200,13000,2800,4000,19800,2800,2600,2400,2000,1000,5800,400,2800,0,800,600,1800,0,200,1200,0,400,200,1000,600,200,0,0,800,200,0,400,0,200,0,0,0,0
"In metropolitan area: In central/principal city",2581400,236000,159000,354000,199800,2e+05,146000,102600,98000,22200,42400,73200,41000,56200,85200,55800,45000,14400,38000,27200,43200,10800,9400,30800,10800,33600,13600,32200,22400,8000,18800,12000,21600,14200,8800,3800,8000,3800,8200,2600,1400,3200,4200,4600,2000,3200,2400,2800,1000,1400,2800,1800,600,200,800,800,400,1000,400,200,0,0,0
"In metropolitan area: Not in central/principal city",1753000,248200,298600,409800,230600,133200,130200,84200,84800,26400,57200,82800,60800,77600,57200,56800,35400,24400,42000,38400,27000,31200,15200,27600,29200,23200,17200,19600,17600,13200,15000,22400,8200,11600,12400,7800,8000,5000,4200,5600,4800,800,2800,3000,4000,400,2200,2800,1800,1200,600,800,2400,800,0,1400,1000,0,200,200,0,0,0
"In metropolitan area: Central/principal city status indeterminable (mixed)",1043400,222600,162000,112400,78600,31400,28000,20000,26400,11200,65200,25400,27600,20000,9000,19200,17200,19200,8600,13400,9800,17200,7600,9800,13000,4200,7000,4000,6200,3800,6200,7400,4200,6400,3000,5400,3000,1800,1200,1000,1200,2200,200,200,200,2000,1200,600,1200,800,400,600,0,1000,600,0,0,400,0,200,0,0,0
